SPECTRAL MEASUREMENT - Optoelectronics group LDCS version 1.1.0
Tom_0.5_2_620-630,06/12/2023,09:18:49

OSA_INST,OSA_SN,OS_CTRWL,OSA_SPAN,OSA_STARTWL,OSA_ENDWL,OSA_PTS,OSA_RES,OSA_AVE,OSA_SENSMODE
YOKOGAWA AQ6370,91G312892,625.000,10.0,620.000,630.000,1001,0.020,1,SENS HIGH2
Data grabbed from OSA via LDCS WL menu

Wavelength (nm), Power (kW)
620.0000000000,0.0000000000
620.0100000000,0.0000000000
620.0200000000,0.0000000429
620.0300000000,0.0000000000
620.0400000000,0.0000000000
620.0500000000,0.0000000296
620.0600000000,0.0000000000
620.0700000000,0.0000000119
620.0800000000,0.0000000000
620.0900000000,0.0000000000
620.1000000000,0.0000000000
620.1100000000,0.0000000000
620.1200000000,0.0000000773
620.1300000000,0.0000000000
620.1400000000,0.0000001096
620.1500000000,0.0000000000
620.1600000000,0.0000000000
620.1700000000,0.0000000000
620.1800000000,0.0000000000
620.1900000000,0.0000000000
620.2000000000,0.0000000000
620.2100000000,0.0000000000
620.2200000000,0.0000000000
620.2300000000,0.0000000000
620.2400000000,0.0000000000
620.2500000000,0.0000000000
620.2600000000,0.0000000363
620.2700000000,0.0000000000
620.2800000000,0.0000000000
620.2900000000,0.0000000000
620.3000000000,0.0000000000
620.3100000000,0.0000000000
620.3200000000,0.0000000000
620.3300000000,0.0000000000
620.3400000000,0.0000001129
620.3500000000,0.0000001074
620.3600000000,0.0000000084
620.3700000000,0.0000000000
620.3800000000,0.0000000000
620.3900000000,0.0000000518
620.4000000000,0.0000000000
620.4100000000,0.0000000000
620.4200000000,0.0000000000
620.4300000000,0.0000000000
620.4400000000,0.0000000000
620.4500000000,0.0000000000
620.4600000000,0.0000000000
620.4700000000,0.0000001195
620.4800000000,0.0000000000
620.4900000000,0.0000000000
620.5000000000,0.0000000000
620.5100000000,0.0000000000
620.5200000000,0.0000000000
620.5300000000,0.0000001214
620.5400000000,0.0000000000
620.5500000000,0.0000000000
620.5600000000,0.0000000000
620.5700000000,0.0000000000
620.5800000000,0.0000000000
620.5900000000,0.0000000000
620.6000000000,0.0000001681
620.6100000000,0.0000000000
620.6200000000,0.0000000000
620.6300000000,0.0000001035
620.6400000000,0.0000000000
620.6500000000,0.0000000000
620.6600000000,0.0000000000
620.6700000000,0.0000000000
620.6800000000,0.0000000000
620.6900000000,0.0000000000
620.7000000000,0.0000000000
620.7100000000,0.0000000000
620.7200000000,0.0000000217
620.7300000000,0.0000000000
620.7400000000,0.0000000000
620.7500000000,0.0000000000
620.7600000000,0.0000000000
620.7700000000,0.0000000000
620.7800000000,0.0000000000
620.7900000000,0.0000000000
620.8000000000,0.0000000000
620.8100000000,0.0000000000
620.8200000000,0.0000000000
620.8300000000,0.0000000000
620.8400000000,0.0000000644
620.8500000000,0.0000000000
620.8600000000,0.0000000000
620.8700000000,0.0000002050
620.8800000000,0.0000000000
620.8900000000,0.0000000882
620.9000000000,0.0000000000
620.9100000000,0.0000000000
620.9200000000,0.0000000000
620.9300000000,0.0000000000
620.9400000000,0.0000000000
620.9500000000,0.0000000282
620.9600000000,0.0000000000
620.9700000000,0.0000000000
620.9800000000,0.0000000000
620.9900000000,0.0000000000
621.0000000000,0.0000000464
621.0100000000,0.0000002410
621.0200000000,0.0000000000
621.0300000000,0.0000001901
621.0400000000,0.0000000000
621.0500000000,0.0000000000
621.0600000000,0.0000000000
621.0700000000,0.0000000000
621.0800000000,0.0000000019
621.0900000000,0.0000002736
621.1000000000,0.0000000127
621.1100000000,0.0000000000
621.1200000000,0.0000000000
621.1300000000,0.0000000000
621.1400000000,0.0000000000
621.1500000000,0.0000000000
621.1600000000,0.0000001066
621.1700000000,0.0000000135
621.1800000000,0.0000000000
621.1900000000,0.0000000000
621.2000000000,0.0000000000
621.2100000000,0.0000000000
621.2200000000,0.0000001848
621.2300000000,0.0000000000
621.2400000000,0.0000000000
621.2500000000,0.0000000000
621.2600000000,0.0000000000
621.2700000000,0.0000000000
621.2800000000,0.0000000000
621.2900000000,0.0000000000
621.3000000000,0.0000000000
621.3100000000,0.0000000000
621.3200000000,0.0000000000
621.3300000000,0.0000000594
621.3400000000,0.0000000000
621.3500000000,0.0000000000
621.3600000000,0.0000000000
621.3700000000,0.0000000000
621.3800000000,0.0000000000
621.3900000000,0.0000000252
621.4000000000,0.0000000000
621.4100000000,0.0000000000
621.4200000000,0.0000000000
621.4300000000,0.0000000000
621.4400000000,0.0000000000
621.4500000000,0.0000000000
621.4600000000,0.0000000000
621.4700000000,0.0000000000
621.4800000000,0.0000001699
621.4900000000,0.0000000000
621.5000000000,0.0000000000
621.5100000000,0.0000000000
621.5200000000,0.0000000000
621.5300000000,0.0000000592
621.5400000000,0.0000000000
621.5500000000,0.0000000000
621.5600000000,0.0000000000
621.5700000000,0.0000000000
621.5800000000,0.0000000000
621.5900000000,0.0000000000
621.6000000000,0.0000001179
621.6100000000,0.0000000000
621.6200000000,0.0000001625
621.6300000000,0.0000000000
621.6400000000,0.0000000212
621.6500000000,0.0000000000
621.6600000000,0.0000000000
621.6700000000,0.0000001450
621.6800000000,0.0000000000
621.6900000000,0.0000000077
621.7000000000,0.0000000269
621.7100000000,0.0000001804
621.7200000000,0.0000000000
621.7300000000,0.0000000000
621.7400000000,0.0000000000
621.7500000000,0.0000001345
621.7600000000,0.0000000309
621.7700000000,0.0000000000
621.7800000000,0.0000000408
621.7900000000,0.0000000000
621.8000000000,0.0000000159
621.8100000000,0.0000000000
621.8200000000,0.0000000000
621.8300000000,0.0000000000
621.8400000000,0.0000000000
621.8500000000,0.0000000000
621.8600000000,0.0000001706
621.8700000000,0.0000000000
621.8800000000,0.0000000000
621.8900000000,0.0000001214
621.9000000000,0.0000000000
621.9100000000,0.0000000000
621.9200000000,0.0000000813
621.9300000000,0.0000000000
621.9400000000,0.0000000000
621.9500000000,0.0000000000
621.9600000000,0.0000000000
621.9700000000,0.0000000000
621.9800000000,0.0000000000
621.9900000000,0.0000000000
622.0000000000,0.0000000938
622.0100000000,0.0000000000
622.0200000000,0.0000000000
622.0300000000,0.0000000000
622.0400000000,0.0000000000
622.0500000000,0.0000000000
622.0600000000,0.0000000241
622.0700000000,0.0000000000
622.0800000000,0.0000000129
622.0900000000,0.0000000000
622.1000000000,0.0000000532
622.1100000000,0.0000000000
622.1200000000,0.0000000708
622.1300000000,0.0000000000
622.1400000000,0.0000002472
622.1500000000,0.0000000000
622.1600000000,0.0000000000
622.1700000000,0.0000000000
622.1800000000,0.0000000000
622.1900000000,0.0000000000
622.2000000000,0.0000000000
622.2100000000,0.0000000055
